gvkey,datadate,fyear,tic,revt,sic
005968,20191231,2019,RYI,4501.6000,5051
005978,20191231,2019,AEGN,1213.9350,1623
005987,20190930,2019,GFF,2209.2890,3420
006008,20191231,2019,INTC,71965.0000,3674
006013,20191231,2019,INS,34.3030,7372
006021,20191231,2019,INRD,10.0080,3679
006033,20190630,2019,ITDN,0.0000,9995
006034,20191231,2019,TILE,1343.0290,2273
006066,20191231,2019,IBM,77147.0000,7370
006078,20191231,2019,IFF,5140.0840,2860
006081,20191031,2019,NAV,11251.0000,3711
006100,20191231,2019,IDCC,324.4240,6794
006104,20191231,2019,IP,22376.0000,2631
006135,20191231,2019,ENB,50069.0000,4924
006136,20191231,2019,IPG,10221.3000,7311
006158,20191231,2019,IVC,927.9640,3842
006178,20191231,2019,AES4,1481.6430,4911
006196,20191231,2019,AXE,8845.6000,5065
006216,20190930,2019,J,12737.8680,1600
006223,20191231,2019,EME,9174.6110,1731
006233,20191231,2019,SRL,87.3270,6211
006239,20191130,2019,LUK2,4584.5320,6211
006239,20191130,2019,LUK2,4584.5320,6211
006253,20191231,2019,GPU3,1837.0000,4911
006266,20191231,2019,JNJ,82059.0000,2834
006268,20190930,2019,JCI,23968.0000,3585
006304,20190630,2019,KLAC,4568.9040,3827
006310,20191231,2019,KMI,13209.0000,4923
006311,20191231,2019,PNRG,104.7400,1311
006326,20191231,2019,KAMN,761.6080,3720
006333,20191231,2019,KCLI,512.6930,6311
006333,20191231,2019,KCLI,530.3970,6311
006335,20191231,2019,KSU,2866.0000,4011
006338,20191231,2019,EVRG,5147.8000,4931
006375,20191231,2019,K,13578.0000,2040
006379,20191231,2019,KELYA,5355.6000,7363
006386,20190630,2019,KMT,2375.2340,3540
006397,20191231,2019,AEP4,619.4570,4911
006410,20190430,2018,KEQU,146.5500,3821
006416,20190630,2019,KTCC,464.0440,3670
006433,20190630,2019,KBAL,768.0700,2520
006435,20191231,2019,KMB,18450.0000,2621
006461,20191231,2019,KEX,2838.3990,4400
006494,20190331,2018,KMTUY,24594.4190,3531
006497,20190630,2019,KOSS,21.8420,3651
006502,20190131,2018,KR,121162.0000,5411
006506,20191231,2019,KUBTY,17667.2090,3523
006509,20190930,2019,KLIC,540.0520,3559
006512,20190331,2018,KYOCY,14653.4470,3674
006527,20190630,2019,LYTS,328.8520,3640
006528,20191231,2019,LXU,365.0700,2810
006543,20190430,2018,LZB,1745.4010,2510
006547,20190930,2019,SR,1952.4000,4924
006565,20190630,2019,LRCX,9653.5590,3559
006573,20190630,2019,LANC,1307.7870,2030
006617,20191231,2019,LAWS,370.7850,5072
006639,20190930,2019,LEE,509.8540,2711
006649,20191231,2019,LEG,4752.5000,2510
006653,20190331,2018,LM,2945.9930,6282
006653,20190331,2018,LM,2903.2590,6282
006669,20191130,2019,LEN,22259.5610,1531
006672,20191231,2019,LEFUF,2283.4110,5712
006682,20191130,2019,JEF,5081.4970,6211
006682,20191130,2019,JEF,5284.4920,6211
006730,20191231,2019,LLY,22319.5000,2834
